taxonomy	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_Isolate_013_NCI|t__SGB27767	0	0	0	0	0	0	0.00702	0	0	0	0.01788	0	0	0	0	0	0.12701	0	0.09359	0	0.01526	0	0	0.00121	0.02024	0.11769	0	0	0	0	0.0132	0	0	0.02565	0	0	0	0	0	0	0	0.08435	0	0	0	0	0	0	0	0.05154	0	0	0.15562	0.18964	0	0	0.21858	0	0.12233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB75095|s__GGB75095_SGB41525|t__SGB41525	0	0	0	0	0	0	0.00521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01929	0	0	0	0	0	0	0	0	0.02487	0	0	0.01962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31108|s__GGB31108_SGB44379|t__SGB44379	0	0	0	0	0	0	0.00408	0	0.00521	0	0	0	0	0	0	0	0	0	0	0	0.00861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296	0	0	0	0	0	0.01478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02191	0	0	0	0	0.03095	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified|g__GGB79594|s__GGB79594_SGB41414|t__SGB41414	0	0	0	0	0	0	0.00251	0.04412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00592	0	0.34236	0	0	0	0	0.04569	0	0	0	0	0	0	0	0	0	0	0.11686	0	0	0	0	0	0	0	0	0	0	0	0	0.29181	0	0	0	0	0	0	0	0	0.09441	0.45697	0	0	0	0	0	0	0.0238	0	0	0.01721	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB75727|s__GGB75727_SGB102613|t__SGB102613	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01387	0.02445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00839	0	0	0.01901	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_LYSM12|t__SGB29815	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24985	0	0	0	0	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB27481|s__GGB27481_SGB39777|t__SGB39777	0	0	0	0	0	0	0.00174	0	0.02637	0	0	0	0	0	0	0.00494	0	0	0	0	0	0	0	0	0.04226	0	0	0	0	0	0	0	0	0.0391	0	0	0	0	0	0.05436	0	0	0	0.02345	0	0	0	0	0.06858	0	0	0	0	0	0	0	0	0	0.17264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820	0	0	0	0	0	0	0	9.91623	0.02263	14.39397	0.17492	0.03442	0.03072	0.00671	0	0.08497	0	0	0	0	0.86096	0.00842	0	0.2486	1.88223	0	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0	0	0	0.05012	15.81559	0.00708	0.18508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76321	0	0	0	0	0	0	0	0.08164	0.13792	0.56982	0	0	0	0	0	0.45876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50485	0	0	0	0	0	0	0	0	0	0	0.79473	0	0	0	0	0	0	0	0	0	0.01651	0	0	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9506	0	0	0	0	0	0	0	0.00452	0	0	0.24083	0	0	0	0	0	0.0407	0	0	0	0.0152	0.01351	0	0	0.12717	0	0	0	0	0	0	0	0	0.2655	0	0	0.01103	0	0	0.05342	0	0.03119	0	0.01128	0	0	0	0	0	0.53232	0	0	0.30957	0.00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91091	0	0.02237	0.00811	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820	0	0	0	0	0	0	0	9.91623	0.02263	14.39397	0.17492	0.03442	0.03072	0.00671	0	0.08497	0	0	0	0	0.86096	0.00842	0	0.2486	1.88223	0	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0	0	0	0.05012	15.81559	0.00708	0.18508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76321|o__OFGB76321	0	0	0	0	0	0	0	0.08164	0.13792	0.56982	0	0	0	0	0	0.45876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50485	0	0	0	0	0	0	0	0	0	0	0.79473	0	0	0	0	0	0	0	0	0	0.01651	0	0	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	0	0	0	0	0	0	0	0.00452	0	0	0.24083	0	0	0	0	0	0.0407	0	0	0	0.0152	0.01351	0	0	0.12717	0	0	0	0	0	0	0	0	0.2655	0	0	0.01103	0	0	0.05342	0	0.03119	0	0.01128	0	0	0	0	0	0.53232	0	0	0.30957	0.00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91091	0	0.02237	0.00811	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0	0	0	0	0	0	0	0.00407	0	0.0289	0	0.00544	0.00115	0	0	0	0	0.24341	0	0	0	0	0	0	0	0	0	0	0.12861	0	0	0	0.16185	0	0	0.04317	0	0.00558	0	0	0	0	0.02613	0	0	0	0	0	0	0	0.02536	0	0	0	0	0.02019	0	0	0	0.01991	0	0.03595	0	0.01962	0	0.05878	0	0	0.08076	0.02596	0	0.00418	0	0.00095	0	0	0.01111	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820	0	0	0	0	0	0	0	9.91623	0.02263	14.39397	0.17492	0.03442	0.03072	0.00671	0	0.08497	0	0	0	0	0.86096	0.00842	0	0.2486	1.88223	0	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0	0	0	0.05012	15.81559	0.00708	0.18508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76321|o__OFGB76321|f__FGB76321	0	0	0	0	0	0	0	0.08164	0.13792	0.56982	0	0	0	0	0	0.45876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50485	0	0	0	0	0	0	0	0	0	0	0.79473	0	0	0	0	0	0	0	0	0	0.01651	0	0	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506	0	0	0	0	0	0	0	0.00452	0	0	0.24083	0	0	0	0	0	0.0407	0	0	0	0.0152	0.01351	0	0	0.12717	0	0	0	0	0	0	0	0	0.2655	0	0	0.01103	0	0	0.05342	0	0.03119	0	0.01128	0	0	0	0	0	0.53232	0	0	0.30957	0.00307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91091	0	0.02237	0.00811	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0	0	0	0	0	0	0.00407	0	0.0289	0	0.00544	0.00115	0	0	0	0	0.24341	0	0	0	0	0	0	0	0	0	0	0.12861	0	0	0	0.16185	0	0	0.04317	0	0.00558	0	0	0	0	0.02613	0	0	0	0	0	0	0	0.02536	0	0	0	0	0.02019	0	0	0	0.01991	0	0.03595	0	0.01962	0	0.05878	0	0	0.08076	0.02596	0	0.00418	0	0.00095	0	0	0.01111	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820|g__GGB28823	0	0	0	0	0	0	0	9.91623	0.02263	14.39397	0.17492	0.03442	0.03072	0.00671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.81559	0.00708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76321|o__OFGB76321|f__FGB76321|g__GGB30452	0	0	0	0	0	0	0	0.08164	0.13792	0.56982	0	0	0	0	0	0.45876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50485	0	0	0	0	0	0	0	0	0	0	0.79473	0	0	0	0	0	0	0	0	0	0.01651	0	0	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28905	0	0	0	0	0	0	0	0.02016	0	1.17617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07272	0	0	0	0	0	0	0	0	0	0	0.81338	0	0	0	0	0	0	0	0.93605	0	0.03442	0	0	1.20887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93419	0.06388	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506|g__GGB28393	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01055	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia	0	0	0	0	0	0	0	0.00407	0	0.0289	0	0.00544	0.00115	0	0	0	0	0.24341	0	0	0	0	0	0	0	0	0	0	0.12861	0	0	0	0.16185	0	0	0.04317	0	0.00558	0	0	0	0	0.02613	0	0	0	0	0	0	0	0.02536	0	0	0	0	0.02019	0	0	0	0.01991	0	0.03595	0	0.01962	0	0.05878	0	0	0.08076	0.02596	0	0.00418	0	0.00095	0	0	0.01111	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820|g__GGB28823|s__GGB28823_SGB41479	0	0	0	0	0	0	0	9.91623	0.02263	14.39397	0.17492	0.03442	0.03072	0.00671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.81559	0.00708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB59780	0	0	0	0	0	0	0	0.08302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76321|o__OFGB76321|f__FGB76321|g__GGB30452|s__GGB30452_SGB43511	0	0	0	0	0	0	0	0.08164	0.13792	0.56982	0	0	0	0	0	0.45876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50485	0	0	0	0	0	0	0	0	0	0	0.79473	0	0	0	0	0	0	0	0	0	0.01651	0	0	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28905|s__GGB28905_SGB41598	0	0	0	0	0	0	0	0.02016	0	1.17617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07272	0	0	0	0	0	0	0	0	0	0	0.81338	0	0	0	0	0	0	0	0.93605	0	0.03442	0	0	1.20887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93419	0.06388	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506|g__GGB28393|s__GGB28393_SGB40973	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01055	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	0	0	0	0	0	0	0	0.00407	0	0.0289	0	0.00544	0.00115	0	0	0	0	0.24341	0	0	0	0	0	0	0	0	0	0	0.12861	0	0	0	0.16185	0	0	0.04317	0	0.00558	0	0	0	0	0.02613	0	0	0	0	0	0	0	0.02536	0	0	0	0	0.02019	0	0	0	0.01991	0	0.03595	0	0.01962	0	0.05878	0	0	0.08076	0.02596	0	0.00418	0	0.00095	0	0	0.01111	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB65123	0	0	0	0	0	0	0	0.00095	0.176	0.95092	0	0.03402	0.0115	0	0	0	0	0	0	0	0.12132	0	0	0	0	0	0.14225	0	0	0	0	0	0.05822	0.02985	0	0	0	0.02613	0	0	0	0	0.04704	0	0	0	0	0	0	0	0.17171	0	0.37851	0	0	0.07839	0	0	0	0	0	0	0	0.01423	0	0.19978	0	0	0	0.02676	0.3644	0.02204	0.03457	0.12851	0.02383	0.14983	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820|g__GGB28823|s__GGB28823_SGB41479|t__SGB41479	0	0	0	0	0	0	0	9.91623	0.02263	14.39397	0.17492	0.03442	0.03072	0.00671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.81559	0.00708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB59780|t__SGB59780	0	0	0	0	0	0	0	0.08302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76321|o__OFGB76321|f__FGB76321|g__GGB30452|s__GGB30452_SGB43511|t__SGB43511	0	0	0	0	0	0	0	0.08164	0.13792	0.56982	0	0	0	0	0	0.45876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50485	0	0	0	0	0	0	0	0	0	0	0.79473	0	0	0	0	0	0	0	0	0	0.01651	0	0	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28905|s__GGB28905_SGB41598|t__SGB41598	0	0	0	0	0	0	0	0.02016	0	1.17617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07272	0	0	0	0	0	0	0	0	0	0	0.81338	0	0	0	0	0	0	0	0.93605	0	0.03442	0	0	1.20887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93419	0.06388	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506|g__GGB28393|s__GGB28393_SGB40973|t__SGB40973	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01055	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis|t__SGB24891	0	0	0	0	0	0	0	0.00407	0	0.0289	0	0.00544	0.00115	0	0	0	0	0.24341	0	0	0	0	0	0	0	0	0	0	0.12861	0	0	0	0.16185	0	0	0.04317	0	0.00558	0	0	0	0	0.02613	0	0	0	0	0	0	0	0.02536	0	0	0	0	0.02019	0	0	0	0.01991	0	0.03595	0	0.01962	0	0.05878	0	0	0.08076	0.02596	0	0.00418	0	0.00095	0	0	0.01111	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB65123|t__SGB65123	0	0	0	0	0	0	0	0.00095	0.176	0.95092	0	0.03402	0.0115	0	0	0	0	0	0	0	0.12132	0	0	0	0	0	0.14225	0	0	0	0	0	0.05822	0.02985	0	0	0	0.02613	0	0	0	0	0.04704	0	0	0	0	0	0	0	0.17171	0	0.37851	0	0	0.07839	0	0	0	0	0	0	0	0.01423	0	0.19978	0	0	0	0.02676	0.3644	0.02204	0.03457	0.12851	0.02383	0.14983	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28439	0	0	0	0	0	0	0	0	0.18379	0	0.10855	0	0	0	0	0.1433	0.00212	0	0	0	0.00951	0.00673	0	0.44015	0.01359	0	0	0	0	0.19973	0	0	0	0.13001	0	0	0.0374	0	0	0.85137	0.24909	0.01929	0.00617	0.01534	0.78401	0.028	0	0	0.01162	0.64656	0	0	0.36361	0.07166	0	0	0	0	0.59496	0	0.03327	0	0.68833	0.28153	0	0	0.00174	0.99387	0	0.01387	0.21019	0	0	0.02495	0.26981	0.10595	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9517	0	0	0	0	0	0	0	0	0.04071	0	0	0	0	0	0	0	0	0	0	0	0	0.01338	0	0	0	0	0	0	0	0	0	0	0	0.07509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06508	0	0	0	0	0	0.14915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15326	0.08262	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB76294	0	0	0	0	0	0	0	0	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09265	0.1022	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439	0	0	0	0	0	0	0	0	0.18379	0	0.10855	0	0	0	0	0.1433	0.00212	0	0	0	0.00951	0.00673	0	0.44015	0.01359	0	0	0	0	0.19973	0	0	0	0.13001	0	0	0.0374	0	0	0.85137	0.24909	0.01929	0.00617	0.01534	0.78401	0.028	0	0	0.01162	0.64656	0	0	0.36361	0.07166	0	0	0	0	0.59496	0	0.03327	0	0.68833	0.28153	0	0	0.00174	0.99387	0	0.01387	0.21019	0	0	0.02495	0.26981	0.10595	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9517|o__OFGB9517	0	0	0	0	0	0	0	0	0.04071	0	0	0	0	0	0	0	0	0	0	0	0	0.01338	0	0	0	0	0	0	0	0	0	0	0	0.07509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06508	0	0	0	0	0	0.14915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15326	0.08262	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB76294|o__OFGB76294	0	0	0	0	0	0	0	0	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09265	0.1022	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439|f__FGB28439	0	0	0	0	0	0	0	0	0.18379	0	0.10855	0	0	0	0	0.1433	0.00212	0	0	0	0.00951	0.00673	0	0.44015	0.01359	0	0	0	0	0.19973	0	0	0	0.13001	0	0	0.0374	0	0	0.85137	0.24909	0.01929	0.00617	0.01534	0.78401	0.028	0	0	0.01162	0.64656	0	0	0.36361	0.07166	0	0	0	0	0.59496	0	0.03327	0	0.68833	0.28153	0	0	0.00174	0.99387	0	0.01387	0.21019	0	0	0.02495	0.26981	0.10595	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9517|o__OFGB9517|f__FGB9517	0	0	0	0	0	0	0	0	0.04071	0	0	0	0	0	0	0	0	0	0	0	0	0.01338	0	0	0	0	0	0	0	0	0	0	0	0.07509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06508	0	0	0	0	0	0.14915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15326	0.08262	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB76294|o__OFGB76294|f__FGB76294	0	0	0	0	0	0	0	0	0.02149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09265	0.1022	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28807	0	0	0	0	0	0	0	0	1.88716	0.00201	0	0	0	0.08195	0.00267	0.05259	1.0236	0.03936	0.05455	0	0.00313	0.0233	0	0.82233	0.2439	0.78767	0.00791	0.00025	0	0.09602	0	0	0	0.13613	0.00601	0	0.62038	0	0	0.0323	0.63938	0.60387	0	1.56755	0	0.08072	0	0	0	0.67574	0	1.82123	0.04397	2.02983	0	0	0.61114	0	0.13126	0	0.75251	0.00315	0.00391	0	0	0	0.39317	0.14508	0	0	1.18211	0.01953	0	0	0	1.43993	0.04438	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28895	0	0	0	0	0	0	0	0	0.34678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08195	0	0	0	0	0	0	0	0	0.00607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494|f__FGB1494|g__GGB28785	0	0	0	0	0	0	0	0	0.22084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36465	0	0	0	0	0	0	0	0	0	0	0	0.95434	0	0	0	0	0	0	0	0	0	0	0.11151	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439|f__FGB28439|g__GGB28439	0	0	0	0	0	0	0	0	0.18379	0	0.10855	0	0	0	0	0.1433	0.00212	0	0	0	0.00951	0.00673	0	0.44015	0.01359	0	0	0	0	0.19973	0	0	0	0.13001	0	0	0.0374	0	0	0.85137	0.24909	0.01929	0.00617	0.01534	0.78401	0.028	0	0	0.01162	0.64656	0	0	0.36361	0.07166	0	0	0	0	0.59496	0	0.03327	0	0.68833	0.28153	0	0	0.00174	0.99387	0	0.01387	0.21019	0	0	0.02495	0.26981	0.10595	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB70448	0	0	0	0	0	0	0	0	0.13986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69733	0	0	1.09119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03928	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28877|o__OFGB28877|f__FGB28877|g__GGB28861	0	0	0	0	0	0	0	0	0.09839	0	0	0	0	0	0	0	0	0	0	0	0.00115	0.18764	0	0.16795	0.00229	0.07166	0	0	0.43073	0	0	0	0	0	0	0	0.04698	0	0	0	0	0	0	0	0	0	0	0	0	0.68854	0	0	0	0	0	0	0	0	0.13168	0	0	0	1.14431	0.02605	0	0	0.03695	1.1933	0.13095	0	0	0	0	0	0.03091	0.01056	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355|f__FGB76355|g__GGB28399	0	0	0	0	0	0	0	0	0.08996	0	0	0	0	0	0	0.92762	8.87292	0.07666	0.0026	0	0.05794	0	0	0	0	0.09456	0	0	0	1.33693	0	0	0	0	0	0	0	0	0	0	0.34461	2.90972	0	1.31325	2.13313	0	0	0	0	0	0	0	0.53003	0.31191	0	0	0	0	0	0	0.52727	0	0	0	0	0	0.192	0	0	0	0	0	0.04281	0.88671	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077|g__GGB28853	0	0	0	0	0	0	0	0	0.05433	0	0.01987	0	0	0.21543	0	0.033	0.00614	0	0.03812	0	0.595	0	0	0.00646	0.26125	0.0354	0	0	0	0	0	0	0	0.16625	0	0	0	0	0	0	0	0	0.0104	0.00087	0	0.03433	0	0	0	0	0	0	1.04315	0	0	0	0	0	0	0	0	0.01233	0	0	0	0	0.04949	0	0	0	0.10836	0.05929	0	0.02082	0.04494	0.0943	0.0077	0	0.00964
